Planta,Producto,DescrProducto,Dia,Inventario,Abasto tránsito,Demanda
Colima,10000926,CPC40R BB,1,12,282,0
Colima,10000926,CPC40R BB,2,12,282,12
Colima,10000926,CPC40R BB,3,0,282,54
Colima,10000926,CPC40R BB,4,59,169,113
Colima,10000926,CPC40R BB,5,0,168,0
Colima,10000926,CPC40R BB,6,0,224,45
Colima,10000926,CPC40R BB,7,68,111,0
Colima,10000926,CPC40R BB,8,68,167,0
Colima,10000926,CPC40R BB,9,130,111,20
Colima,10000926,CPC40R BB,10,110,111,16
Colima,10000926,CPC40R BB,11,94,111,16
Colima,10000926,CPC40R BB,12,78,111,48
Colima,10000926,CPC40R BB,13,85,112,16
Colima,10000926,CPC40R BB,14,69,112,0
Colima,10000926,CPC40R BB,15,69,112,6
Colima,10000926,CPC40R BB,16,64,112,16
Colima,10000926,CPC40R BB,17,104,112,0
Colima,10000926,CPC40R BB,18,104,112,16
Colima,10000926,CPC40R BB,19,87,112,16
Colima,10000926,CPC40R BB,20,127,113,32
Colima,10000926,CPC40R BB,21,95,113,0
Colima,10000926,CPC40R BB,22,95,113,32
Colima,10000926,CPC40R BB,23,63,169,46
Colima,10000926,CPC40R BB,24,74,112,0
Colima,10000926,CPC40R BB,25,74,168,48
Colima,10000926,CPC40R BB,26,81,113,16
Colima,10000926,CPC40R BB,27,65,170,0
Colima,10000926,CPC40R BB,28,65,226,0
Colima,10000926,CPC40R BB,29,65,226,34
Colima,10000926,CPC40R BB,30,88,169,8
Colima,10000926,CPC40R BB,31,81,169,0
Colima,10000920,Mortero 50k,1,19,350,0
Colima,10000920,Mortero 50k,2,19,350,53
Colima,10000920,Mortero 50k,3,3,350,68
Colima,10000920,Mortero 50k,4,5,280,70
Colima,10000920,Mortero 50k,5,5,350,40
Colima,10000920,Mortero 50k,6,1,490,68
Colima,10000920,Mortero 50k,7,109,420,0
Colima,10000920,Mortero 50k,8,109,420,30
Colima,10000920,Mortero 50k,9,219,350,29
Colima,10000920,Mortero 50k,10,190,350,91
Colima,10000920,Mortero 50k,11,239,210,47
Colima,10000920,Mortero 50k,12,262,210,39
Colima,10000920,Mortero 50k,13,293,210,32
Colima,10000920,Mortero 50k,14,262,280,0
Colima,10000920,Mortero 50k,15,262,280,62
Colima,10000920,Mortero 50k,16,340,210,25
Colima,10000920,Mortero 50k,17,315,210,175
Colima,10000920,Mortero 50k,18,280,140,44
Colima,10000920,Mortero 50k,19,306,210,76
Colima,10000920,Mortero 50k,20,301,280,102
Colima,10000920,Mortero 50k,21,339,280,0
Colima,10000920,Mortero 50k,22,339,280,71
Colima,10000920,Mortero 50k,23,338,210,38
Colima,10000920,Mortero 50k,24,300,210,131
Colima,10000920,Mortero 50k,25,309,70,161
Colima,10000920,Mortero 50k,26,218,140,227
Colima,10000920,Mortero 50k,27,27,316,72
Colima,10000920,Mortero 50k,28,203,280,0
Colima,10000920,Mortero 50k,29,203,420,61
Colima,10000920,Mortero 50k,30,289,350,294
Colima,10000920,Mortero 50k,31,276,140,108
Colima,10000969,Impercem 50k,1,8,0,0
Colima,10000969,Impercem 50k,2,8,0,0
Colima,10000969,Impercem 50k,3,8,0,7
Colima,10000969,Impercem 50k,4,1,0,1
Colima,10000969,Impercem 50k,5,11,0,0
Colima,10000969,Impercem 50k,6,11,0,0
Colima,10000969,Impercem 50k,7,11,0,0
Colima,10000969,Impercem 50k,8,11,0,0
Colima,10000969,Impercem 50k,9,11,0,0
Colima,10000969,Impercem 50k,10,11,0,0
Colima,10000969,Impercem 50k,11,11,0,1
Colima,10000969,Impercem 50k,12,10,0,0
Colima,10000969,Impercem 50k,13,10,0,0
Colima,10000969,Impercem 50k,14,10,0,0
Colima,10000969,Impercem 50k,15,10,0,0
